"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
77,40.66405,-73.9923,1,1.5,1,1,0,0,0,1,0,"$50  AND $100"
18,40.6882,-73.94645,21,1.5,2,4,0,1,1,0,0,">  $100"
181,40.71,-73.9523,1,1,1,2,0,1,1,0,0,">  $100"
23,40.6359099999999,-73.90941,21,1,1,1,0,1,0,1,0,"$50  AND $100"
181,40.7104099999999,-73.93847,1,1,1,1,0,0,0,1,0,">  $100"
44,40.77448,-73.90907,1,1,1,1,0,1,1,0,0,">  $100"
18,40.68585,-73.90686,21,2,1,2,0,0,0,1,0,"$50  AND $100"
75,40.72887,-73.95163,1,1,1,1,0,0,0,1,0,"$30  AND $50"
176,40.7307799999999,-74.0104,1,1,2,2,0,1,1,0,0,">  $100"
10,40.69385,-73.95223,1,1,1,2,0,1,0,1,0,"$50  AND $100"
112,40.7513,-73.97239,1,1,1,1,0,0,0,1,0,">  $100"
101,40.73119,-74.00615,1,1,1,1,0,0,1,0,0,">  $100"
10,40.68553,-73.94466,1,2,1,1,1,1,0,1,0,">  $100"
180,40.88296,-73.86264,21,2,1,1,1,1,0,1,0,"$30  AND $50"
111,40.74722,-73.97734,1,1,1,1,0,0,0,1,0,"$50  AND $100"
3,40.7672,-73.92799,1,1,1,1,0,0,0,1,0,"$30  AND $50"
181,40.71985,-73.94015,1,1,1,1,0,0,1,0,0,">  $100"
101,40.7091099999999,-73.99685,1,1,1,2,1,0,1,0,0,">  $100"
94,40.7414799999999,-73.98304,1,1,1,1,0,0,1,0,0,"$50  AND $100"
80,40.80247,-73.9453099999999,1,1.5,1,1,0,0,0,1,0,"$50  AND $100"
101,40.74563,-73.99325,1,2,1,1,0,0,0,1,0,"$50  AND $100"
18,40.67528,-73.95741,1,1,1,1,0,0,0,1,0,"$50  AND $100"
181,40.71284,-73.93965,1,1,1,1,1,0,0,1,0,"$50  AND $100"
18,40.69009,-73.95314,23,1.5,1,1,0,1,0,1,0,"$50  AND $100"
101,40.72311,-73.99476,1,1,1,1,0,0,1,0,0,">  $100"
59,40.74107,-73.98487,1,1,2,2,0,0,1,0,0,">  $100"
18,40.7001,-73.99183,1,1,1,3,0,0,1,0,0,">  $100"
10,40.69023,-73.94628,0,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.8145,-73.94962,1,1,1,1,0,0,0,1,0,"$50  AND $100"
173,40.85557,-73.93641,1,1,1,1,0,0,1,0,0,"$50  AND $100"
101,40.72018,-73.98839,1,1,1,1,0,0,1,0,0,"$50  AND $100"
94,40.74392,-73.9811,1,1,1,1,0,0,0,1,0,"$50  AND $100"
80,40.82097,-73.93765,1,1,2,2,0,0,0,1,0,">  $100"
18,40.70289,-73.98583,1,1,3,3,0,0,1,0,0,">  $100"
101,40.72147,-73.98806,1,1,1,1,0,1,0,1,0,">  $100"
18,40.71278,-73.94035,1,1,1,1,0,0,0,1,0,"$50  AND $100"
94,40.73772,-73.98025,1,1,1,1,0,0,1,0,0,">  $100"
100,40.7237299999999,-73.99118,1,1.5,1,1,0,0,0,1,0,">  $100"
18,40.73419,-73.95493,1,1,2,2,0,0,1,0,0,">  $100"
50,40.80447,-73.94034,21,1,1,1,0,0,0,1,0,"$30  AND $50"
101,40.85516,-73.93717,1,1,1,2,0,0,1,0,0,">  $100"
101,40.77924,-73.95405,1,1,1,2,0,0,1,0,0,">  $100"
80,40.8233,-73.95591,1,1,2,2,0,1,1,0,0,">  $100"
52,40.72754,-73.98555,1,1.5,1,1,1,1,1,0,0,">  $100"
18,40.63524,-73.96602,1,1,2,1,0,0,1,0,0,">  $100"
101,40.80446,-73.96366,1,1,1,1,0,0,0,1,0,"$50  AND $100"
52,40.73003,-73.98576,1,1,2,2,0,0,1,0,0,">  $100"
101,40.72977,-73.98713,1,1,1,1,0,0,1,0,0,">  $100"
168,40.79675,-73.96916,1,1.5,1,1,0,0,0,1,0,"$50  AND $100"
80,40.81858,-73.9559,1,1,2,3,0,0,1,0,0,">  $100"
18,40.66719,-73.98361,21,2,3,4,0,0,1,0,0,">  $100"
136,40.74817,-73.91886,1,1,1,1,0,0,0,1,0,"$30  AND $50"
111,40.7552,-73.9724,1,1,1,1,0,0,1,0,0,">  $100"
80,40.80121,-73.95063,1,1.5,1,1,0,0,0,1,0,">  $100"
101,40.72577,-74.00279,1,1,2,3,0,0,1,0,0,">  $100"
80,40.79981,-73.94048,1,1,1,1,1,0,0,1,0,"$50  AND $100"
101,40.77928,-73.97966,1,1,1,2,0,0,1,0,0,">  $100"
136,40.7672,-73.90795,1,1,1,1,0,0,0,1,0,"$30  AND $50"
136,40.74071,-73.9191,1,1,1,1,0,0,0,1,0,"$30  AND $50"
136,40.71215,-73.85356,21,2,1,1,0,1,0,1,0,"$50  AND $100"
18,40.71524,-73.94299,12,1.5,1,1,0,0,0,1,0,"$30  AND $50"
18,40.66551,-73.98805,21,1.5,1,2,0,0,0,1,0,"$50  AND $100"
75,40.72323,-73.94915,24,1,1,2,0,0,1,0,0,">  $100"
94,40.73899,-73.98153,1,1,2,1,0,0,1,0,0,">  $100"
18,40.66952,-73.98285,1,1,1,1,0,0,1,0,0,">  $100"
42,40.66646,-73.93605,1,1,1,2,0,0,1,0,0,">  $100"
181,40.70674,-73.94365,1,1,1,1,0,0,0,1,0,"$30  AND $50"
18,40.66876,-73.95633,1,1,1,1,0,1,1,0,0,">  $100"
101,40.74961,-73.97865,1,1,1,1,0,0,0,1,0,"$50  AND $100"
168,40.79994,-73.97094,1,1,1,1,0,0,1,0,0,">  $100"
18,40.70765,-73.94821,1,1,2,2,0,1,1,0,0,">  $100"
101,40.77517,-73.98829,1,2,2,3,0,0,1,0,0,">  $100"
22,40.69636,-73.91138,1,1,1,1,0,1,0,1,0,"$50  AND $100"
58,40.64759,-73.96173,1,1,1,2,0,0,1,0,0,"$30  AND $50"
18,40.69312,-73.9058199999999,1,1,1,3,0,0,0,1,0,"$50  AND $100"
168,40.78689,-73.96985,1,1,1,1,0,0,1,0,0,">  $100"
